16,{[1 2 3 4 5 6 7]}
73,{[1 2 3 4 5 6 7]}
79,{[1 2 3 4 5 6 7]}
141,{[1 2 3 4 5 6 7]}
156,{[1 2 3 4 5 6 7]}
194,{[1 2 3 4 5 6 7]}
231,{[1 2 3 4 5 6 7]}
257,{[1 2 3 4 5 6 7]}
290,{[1 2 3 4 5 6 7]}
306,{[1 2 3 4 5 6 7]}
324,{[1 2 3 4 5 6 7]}
344,{[1 2 3 4 5 6 7]}
366,{[1 2 3 4 5 6 7]}
401,{[1 2 3 4 5 6 7]}
404,{[]}
502,{[1 2 3 4 5 6 7]}
520,{[1 2 3 4 5 6 7]}
523,{[1 2 3 4 5 6 7]}
524,{[1 2 3 4 5 6 7]}
548,{[1 2 3 4 5 6 7]}
570,{[]}
701,{[1 2 3 4 5 6 7]}
706,{[1 2 3 4 5 6 7]}
714,{[1 2 3 4 5 6 7]}
721,{[1 2 3 4 5 6 7]}
740,{[2 3 4 5 6 7]}
821,{[2 3 4 5 6 7]}
891,{[2 3 4 5 6 7]}
917,{[2 3 4 5 6 7]}
922,{[2 3 4 5 6 7]}
1034,{[2 3 4 5 6 7]}
1072,{[2 3 4 5 6 7]}
1125,{[]}
1127,{[2 3 4 5 6 7]}
1223,{[2 3 4 5 6 7]}
1239,{[2 3 4 5 6 7]}
1341,{[2 3 4 5 6 7]}
1359,{[2 3 4 5 6 7]}
1409,{[2 3 4 5 6 7]}
1437,{[2 3 4 5 6 7]}
1448,{[2 3 4 5 6 7]}
1481,{[]}
1523,{[2 3 4 5 7]}
1538,{[2 3 4 5 7]}
1557,{[2 3 4 5 7]}
1564,{[2 3 4 5 7]}
1591,{[2 3 4 5 7]}
1646,{[2 3 4 5 7]}
1650,{[2 3 4 5 7]}
1689,{[2 3 4 5 7]}
1705,{[2 3 4 5 7]}
1768,{[2 3 4 5 7]}
1789,{[2 3 4 5 7]}
1811,{[2 3 4 5 7]}
1817,{[2 3 4 5 7]}
1867,{[2 3 4 5 7]}
1888,{[2 3 4 5 7]}
1893,{[2 3 4 5 7]}
1966,{[2 3 4 5 7]}
1972,{[2 3 4 5 7]}
1995,{[2 3 4 5 7]}
2002,{[2 3 4 5 7]}
2019,{[3 4 5 7]}
2128,{[3 4 5 7]}
2139,{[3 4 5 7]}
2215,{[3 4 5 7]}
2252,{[3 4 5 7]}
2270,{[3 4 5 7]}
2287,{[3 4 5 7]}
2330,{[3 4 5 7]}
2334,{[3 4 5 7]}
2401,{[3 4 5 7]}
2637,{[3 4 7]}
2638,{[3 4 7]}
2675,{[3 4 7]}
2693,{[3 4 7]}
2747,{[3 4 7]}
2752,{[]}
2767,{[3 4 7]}
2778,{[3 4 7]}
2838,{[3 4 7]}
2840,{[3 4 7]}
2840,{[3 4 7]}
2855,{[3 4 7]}
2861,{[3 4 7]}
2892,{[3 4 7]}
2914,{[3 4 7]}
2923,{[3 4 7]}
2958,{[3 4 7]}
2993,{[3 4 7]}
3078,{[3 4 7]}
3081,{[3 4 7]}
3113,{[4 7]}
3210,{[4 7]}
3224,{[4 7]}
3287,{[4 7]}
3304,{[4 7]}
3327,{[4 7]}
3415,{[4 7]}
3478,{[4 7]}
